BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,EdgeCount,Indegree,NeighborhoodConnectivity,Outdegree
0,0,0.08974359,13,13,106.6153846,0
0.016717539,1,0.063279857,34,33,101.9705882,1
0,0,0.3,5,5,134.4,0
0,0,0.134502924,19,19,104.4210526,0
0,0,0.117753623,24,24,104.4166667,0
0,0,0.081632653,50,50,78.96,0
0.48461694,0.353327228,0.095731707,41,22,116.195122,19
1.34804644,0.38907563,0.089225589,57,23,129.1636364,34
0,0,0.077777778,10,10,108.6,0
0.05841469,0.309409249,0.052910053,28,22,99.53571429,6
0,0,0.092857143,21,21,143.8095238,0
3.141055777,0.447256569,0.045514999,210,53,111.4356436,157
0,0,0.113636364,12,12,116.9166667,0
0,0,0.124183007,18,18,119.9444444,0
0.341490691,0.309616156,0.199134199,24,16,127.5,8
0.18963168,0.353597067,0.098837209,44,29,149.2727273,15
0,0,0.244444444,10,10,128.1,0
0.053605071,0.351877185,0.120689655,32,17,111.1333333,15
0,0,0.128571429,15,15,133,0
0.218356365,0.303208906,0.121988796,87,83,160.4352941,4
0,0,0.117647059,18,18,128,0
0,0,0.127705628,22,22,132.7727273,0
0.263101881,0.236731772,0.117647059,18,16,141.6666667,2
9.71E-04,0.261404697,0.176470588,17,16,107.8235294,1
0,0,0.181818182,11,11,177.8181818,0
0,0,0.125,9,9,114.2222222,0
0.611124857,0.401839958,0.082574199,84,38,128.8795181,46
0,0,0.087351502,54,54,90.62962963,0
5.245533779,0.307845745,0.035503522,104,97,90.03883495,7
0.007072122,0.221277002,0.108187135,19,17,151.8947368,2
0.339286793,0.362625313,0.132890365,43,19,142.7674419,24
0,0,0.1,5,5,240.8,0
0,0,0.107894737,20,20,166.9,0
0.979375574,0.413024086,0.083091085,138,57,122.4728682,81
0.027974734,0.260346379,0.166666667,15,14,186.8,1
0.335589736,0.350704439,0.12987013,80,46,120.038961,34
0.171381945,0.351449825,0.126936027,57,49,138.5272727,8
0,0,0.095305832,38,38,195.8421053,0
1.293882,0.330903373,0.080063291,82,74,149.3125,8
0,0,0.092828283,100,100,178.61,0
0,0,0.175824176,14,14,167.2142857,0
8.531687983,0.494235696,0.040363213,398,81,114.5079365,317
0.146740151,0.388944892,0.063137255,51,10,136.0784314,41
0.319089466,0.333813987,0.095169082,46,30,133.826087,16
0.739507399,0.32296317,0.079051383,25,21,119.1304348,4
2.397220436,0.485834208,0.064212009,314,42,131.6754967,272
0.135641187,0.339293566,0.078598485,33,17,138.1818182,16
2.120101208,0.456337473,0.052504332,276,27,107.2649254,249
1.549913142,0.303288353,0.072072072,38,33,110.2702703,5
0.751548068,0.390256237,0.106782107,109,50,132.4343434,59
0,0,0.1,21,21,160.0952381,0
0.069646191,0.28951976,0.12,25,18,130.76,7
0.029288318,0.30237722,0.150244584,56,50,146.2222222,6
0.028253344,0.244869896,0.060526316,20,19,107.6,1
2.642144488,0.426413704,0.07539953,174,55,113.1288344,119
0,0,0.08496732,18,18,101.5555556,0
0.148930104,0.316473001,0.106612686,39,30,147.1282051,9
0.324896437,0.335847962,0.097537879,34,31,177.0909091,3
4.165618527,0.423527259,0.077707357,200,51,107.4240838,149
0.003913764,0.235455655,0.10978836,28,27,149.8928571,1
0,0,0.155797101,24,24,178.25,0
0,0,0.073333333,25,25,145.6,0
0.294456625,0.36256852,0.084259259,87,65,134.7777778,22
0.008504395,1,0.062195122,41,38,145.8536585,3
0,0,0.092741935,32,32,104.03125,0
0.833313196,0.393774451,0.099165972,120,48,116.8181818,72
0,0,0.138095238,36,36,140,0
3.492697482,0.401143649,0.082378157,160,95,137.2380952,65
0,0,0.097402597,22,22,137.9090909,0
0.001302388,1,0.233333333,6,5,160.1666667,1
0,0,0.116666667,21,21,143.7142857,0
14.83059055,0.470815538,0.062870203,419,181,113.8583569,238
0,0,0.147058824,18,18,158.3333333,0
0,0,0.156989247,31,31,142.6451613,0
0,0,0.099435028,60,60,118.4333333,0
0.456215471,0.350704439,0.170542636,47,33,189.4418605,14
0,0,0.04517055,189,189,133.3862434,0
0.485296044,0.395726496,0.105889724,60,21,172.2105263,39
0.678959001,0.343828902,0.111891892,76,64,161.92,12
0.176547269,0.345316229,0.062442183,48,27,104.1489362,21
0.642941194,0.469288465,0.057475678,221,25,137.875576,196
2.127946378,0.443741614,0.064950107,193,37,118.7826087,156
1.063771298,0.395929537,0.104918033,67,30,163.8688525,37
0.036046178,0.318782704,0.111666667,26,19,137.2,7
0,0,0.114718615,22,22,129.1818182,0
1.724392606,0.290902237,0.085585586,38,34,144.1351351,4
0.080525032,0.348172658,0.148520085,45,21,118.0681818,24
3.226456702,0.458234363,0.072565501,231,73,130.6084906,158
0.019052139,0.299443798,0.164502165,22,17,194.2272727,5
0,0,0.078598485,33,33,132.9393939,0
0,0,0.230769231,13,13,204.6153846,0
0.181918872,0.395051195,0.057471264,90,13,101.1034483,77
0,0,0.148484848,45,45,178.4222222,0
0.24577255,0.345677169,0.122702703,80,64,146.2133333,16
0.416887948,0.384168603,0.122881356,62,27,159.9,35
0.644444394,0.350863898,0.124949698,75,54,167.6901408,21
0.933288675,0.377835809,0.103863432,108,57,125.0754717,51
0.176128615,0.318344334,0.125087719,77,69,146.8026316,8
10.00916519,0.409517071,0.061350686,385,309,134.4460227,76
0,0,0.090769231,26,26,161.0769231,0
0.048390586,0.287220844,0.147186147,22,16,150.2272727,6
0.159507158,0.358470115,0.125282678,72,39,134.6567164,33
0,0,0.067460317,28,28,150.7142857,0
0.466926773,0.360087105,0.092349727,62,30,154.7868852,32
0.224602772,0.33487632,0.142247511,39,30,172.2631579,9
0,0,0.123152709,29,29,191.4482759,0
3.812602975,0.439278937,0.069522927,271,88,112.254902,183
0.169052285,0.334392604,0.138461538,44,35,132.4,9
0.192504283,0.362171464,0.113432047,62,21,123.7741935,41
1.173024163,0.363080301,0.137820513,44,24,142.775,20
0.048025645,0.266490158,0.147058824,20,17,171.0555556,3
0,0,0.086656672,116,116,166.8275862,0
0,0,0.066101695,60,60,135.9,0
0.060352031,0.327578888,0.152307692,27,19,178.4615385,8
0.118493798,0.34806796,0.098039216,53,33,147.3846154,20
2.318234732,0.414874552,0.090553857,116,44,148.6513761,72
2.40E-04,0.240494494,0.25,5,4,171.8,1
0,0,0.136862745,51,51,160.2941176,0
0,0,0.128205128,13,13,144.8461538,0
0,0,0.124039133,54,54,138.5925926,0
0,0,0.067251462,19,19,166.3157895,0
1.320247912,0.434089631,0.082138261,159,42,121.4459459,117
2.156601062,0.399413389,0.106060606,111,47,126.18,64
0,0,0.149470899,28,28,199.9642857,0
1.095181298,0.362341524,0.082807018,80,52,139.0131579,28
0.632494412,0.381195455,0.129781421,67,29,159.3934426,38
0.384472126,0.375689711,0.082159624,74,33,135.375,41
0.003935425,0.299095607,0.087912088,14,12,208.5714286,2
0,0,0.075396825,28,28,136,0
0,0,0.114653465,101,101,155.2574257,0
0,0,0.162698413,28,28,160.8571429,0
0.022518234,0.265481651,0.128205128,27,23,174.0740741,4
1.192092738,0.353003965,0.113580247,87,52,119.0493827,35
